Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Daily_Return,Volatility20,MA20,MA50,MA200,Month,Return_Bin,Daily Profit,Total Return,Max Daily Gain %,Max Daily Loss %
18-11-2024,23605.3,23606.8,23350.4,23453.8,263311912,25257.33,,,23453.8,23453.8,23453.8,2024-11,,1%,10%,26104.2,21743.65
19-11-2024,23529.55,23780.65,23464.8,23518.5,297477279,30486.78,0.275861481,,23486.15,23486.15,23486.15,2024-11,"(-0.0656, 0.288]",0%,10%,26104.2,21743.65
21-11-2024,23488.45,23507.3,23263.15,23349.9,420332354,40900.89,-0.716882454,,23440.73333,23440.73333,23440.73333,2024-11,"(-0.772, -0.419]",1%,10%,26104.2,21743.65
22-11-2024,23411.8,23956.1,23359,23907.25,367562789,39257.52,2.386948124,,23557.3625,23557.3625,23557.3625,2024-11,"(2.053, 2.406]",-2%,10%,26104.2,21743.65
25-11-2024,24253.55,24351.55,24135.45,24221.9,687172787,85975.81,1.316127953,,23690.27,23690.27,23690.27,2024-11,"(0.994, 1.347]",0%,10%,26104.2,21743.65
26-11-2024,24343.3,24343.3,24125.4,24194.5,230691771,24140.67,-0.113120771,,23774.30833,23774.30833,23774.30833,2024-11,"(-0.419, -0.0656]",1%,10%,26104.2,21743.65
27-11-2024,24204.8,24354.55,24145.65,24274.9,295011445,31149.09,0.332306929,,23845.82143,23845.82143,23845.82143,2024-11,"(0.288, 0.641]",0%,10%,26104.2,21743.65
28-11-2024,24274.15,24345.75,23873.35,23914.15,366745300,41198.27,-1.486102929,,23854.3625,23854.3625,23854.3625,2024-11,"(-1.831, -1.478]",2%,10%,26104.2,21743.65
29-11-2024,23927.15,24188.45,23927.15,24131.1,282104071,30509.98,0.907203476,,23885.11111,23885.11111,23885.11111,2024-11,"(0.641, 0.994]",-1%,10%,26104.2,21743.65
02-12-2024,24140.85,24301.7,24008.65,24276.05,220384187,23162.75,0.600677134,,23924.205,23924.205,23924.205,2024-12,"(0.288, 0.641]",-1%,10%,26104.2,21743.65
03-12-2024,24367.5,24481.35,24280,24457.15,339470947,34228.3,0.746002748,,23972.65455,23972.65455,23972.65455,2024-12,"(0.641, 0.994]",0%,10%,26104.2,21743.65
04-12-2024,24488.75,24573.2,24366.3,24467.45,348003156,34639.78,0.042114474,,24013.8875,24013.8875,24013.8875,2024-12,"(-0.0656, 0.288]",0%,10%,26104.2,21743.65
05-12-2024,24539.15,24857.75,24295.55,24708.4,361469920,40471.33,0.984777735,,24067.31154,24067.31154,24067.31154,2024-12,"(0.641, 0.994]",-1%,10%,26104.2,21743.65
06-12-2024,24729.45,24751.05,24620.5,24677.8,226731303,23904.13,-0.123844523,,24110.91786,24110.91786,24110.91786,2024-12,"(-0.419, -0.0656]",0%,10%,26104.2,21743.65
