Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Daily_Return,MA20,MA50,MA200,Volatility20,Price_Change_%
18-11-2024,23605.3,23606.8,23350.4,23453.8,263311912,25257.33,,23453.8,23453.8,23453.8,,-0.641805018
19-11-2024,23529.55,23780.65,23464.8,23518.5,297477279,30486.78,0.002758615,23486.15,23486.15,23486.15,,-0.046962224
21-11-2024,23488.45,23507.3,23263.15,23349.9,420332354,40900.89,-0.007168825,23440.73333,23440.73333,23440.73333,0.00701976,-0.58986438
22-11-2024,23411.8,23956.1,23359,23907.25,367562789,39257.52,0.023869481,23557.3625,23557.3625,23557.3625,0.015851389,2.116240528
25-11-2024,24253.55,24351.55,24135.45,24221.9,687172787,85975.81,0.01316128,23690.27,23690.27,23690.27,0.013365981,-0.13049636
26-11-2024,24343.3,24343.3,24125.4,24194.5,230691771,24140.67,-0.001131208,23774.30833,23774.30833,23774.30833,0.012297737,-0.611256485
27-11-2024,24204.8,24354.55,24145.65,24274.9,295011445,31149.09,0.003323069,23845.82143,23845.82143,23845.82143,0.011066271,0.289611978
28-11-2024,24274.15,24345.75,23873.35,23914.15,366745300,41198.27,-0.014861029,23854.3625,23854.3625,23854.3625,0.012768977,-1.483059139
29-11-2024,23927.15,24188.45,23927.15,24131.1,282104071,30509.98,0.009072035,23885.11111,23885.11111,23885.11111,0.012024695,0.852378992
02-12-2024,24140.85,24301.7,24008.65,24276.05,220384187,23162.75,0.006006771,23924.205,23924.205,23924.205,0.011275987,0.56004656
03-12-2024,24367.5,24481.35,24280,24457.15,339470947,34228.3,0.007460027,23972.65455,23972.65455,23972.65455,0.010690802,0.367908074
04-12-2024,24488.75,24573.2,24366.3,24467.45,348003156,34639.78,0.000421145,24013.8875,24013.8875,24013.8875,0.010207644,-0.086978715
05-12-2024,24539.15,24857.75,24295.55,24708.4,361469920,40471.33,0.009847777,24067.31154,24067.31154,24067.31154,0.009882844,0.689714191
06-12-2024,24729.45,24751.05,24620.5,24677.8,226731303,23904.13,-0.001238445,24110.91786,24110.91786,24110.91786,0.009590307,-0.208860286
09-12-2024,24633.9,24705,24580.05,24619,248139308,25099.79,-0.002382708,24144.79,24144.79,24144.79,0.009368856,-0.060485753
10-12-2024,24652.65,24677.8,24510.65,24610.05,261048951,26093.38,-0.00036354,24173.86875,24173.86875,24173.86875,0.009083281,-0.172800896
11-12-2024,24620.5,24691.75,24583.85,24641.8,187252712,21592.23,0.001290123,24201.39412,24201.39412,24201.39412,0.008788974,0.086513271
12-12-2024,24604.45,24675.25,24527.95,24548.7,266051129,28235.17,-0.003778133,24220.68889,24220.68889,24220.68889,0.008673212,-0.226585028
13-12-2024,24498.35,24792.3,24180.8,24768.3,310080852,30429.73,0.008945484,24249.51053,24249.51053,24249.51053,0.008541129,1.101910945
16-12-2024,24753.4,24781.25,24601.75,24668.25,187551629,18608.23,-0.004039438,24270.4475,24270.4475,24270.4475,0.008459143,-0.343993148
17-12-2024,24584.8,24624.1,24303.45,24336,264881033,26765.16,-0.01346873,24314.5575,24273.56905,24273.56905,0.00899184,-1.012007419
18-12-2024,24297.95,24394.45,24149.85,24198.85,235346534,23315.92,-0.005635684,24348.575,24270.17273,24270.17273,0.009143605,-0.407853337
19-12-2024,23877.15,24004.9,23870.3,23951.7,271128027,27815.23,-0.010213295,24378.665,24256.32609,24256.32609,0.0093186,0.312223192
